trace,kind,round,accuracy,tier,degree,avg_coverage_width,tau_vs_true,symdiff_vs_true,tau_vs_final,symdiff_vs_final,tau_vs_prev,symdiff_vs_prev
#1 uniform,oracle,55,0.928968,veryHigh,4,0.041667,0.885311,4,0.726495,12,0.964021,0
#1 uniform,oracle,56,0.938095,veryHigh,4,0.041667,0.884246,4,0.725589,12,0.964021,0
#1 uniform,oracle,57,0.938095,veryHigh,4,0.041667,0.886904,4,0.727157,12,0.965586,0
#1 uniform,oracle,58,0.938169,veryHigh,4,0.041617,0.887047,4,0.727410,12,0.968599,0
#1 uniform,oracle,59,0.938169,veryHigh,4,0.041617,0.851671,8,0.964982,0,0.728612,12
#1 uniform,oracle,60,0.938169,veryHigh,4,0.041617,0.885027,4,0.725847,12,0.727963,12
#1 uniform,oracle,61,0.938169,veryHigh,4,0.041617,0.886761,4,0.727835,12,0.966270,0
#1 uniform,oracle,62,0.938169,veryHigh,4,0.041617,0.851191,8,0.964384,2,0.728901,12
#1 uniform,oracle,63,0.938243,veryHigh,4,0.041568,0.886761,4,0.727835,12,0.728901,12
#1 uniform,oracle,64,0.938243,veryHigh,4,0.041568,0.886785,4,0.727175,12,0.968101,0
#1 uniform,oracle,65,0.938243,veryHigh,5,0.041568,0.850712,8,0.963880,2,0.729781,12
#1 uniform,oracle,66,0.938243,veryHigh,5,0.041568,0.849302,8,0.962462,0,0.963880,2
#1 uniform,oracle,67,0.938243,veryHigh,5,0.041567,0.849234,8,0.962339,0,0.962339,0
#1 uniform,oracle,68,0.938243,veryHigh,5,0.041567,0.849302,8,0.962462,0,0.962339,0
#1 uniform,oracle,69,0.938243,veryHigh,5,0.041567,0.850666,8,0.963882,0,0.963882,0
#1 uniform,oracle,70,0.938243,veryHigh,5,0.041567,0.849234,8,0.962339,0,0.963826,0
#1 uniform,oracle,71,0.938243,veryHigh,5,0.041567,0.850666,8,0.963882,0,0.963826,0
#1 uniform,oracle,72,0.929115,veryHigh,5,0.041567,0.849234,8,0.962339,0,0.963826,0
#1 uniform,oracle,73,0.938243,veryHigh,5,0.041567,0.849234,8,0.962339,0,0.962312,0
#1 uniform,oracle,74,0.929115,veryHigh,6,0.041567,0.849302,8,0.962462,0,0.962339,0
#1 uniform,oracle,75,0.938243,veryHigh,6,0.041567,0.850666,8,0.963882,0,0.963882,0
#1 uniform,oracle,76,0.938243,veryHigh,6,0.041567,0.850666,8,0.963882,0,0.965477,0
#1 uniform,oracle,77,0.938243,veryHigh,6,0.041567,0.849234,8,0.962339,0,0.963826,0
#1 uniform,oracle,78,0.938243,veryHigh,6,0.041567,0.849234,8,0.962339,0,0.962312,0
#1 uniform,oracle,79,0.938243,veryHigh,6,0.041567,0.849302,8,0.962462,0,0.962339,0
#1 uniform,oracle,80,0.938243,veryHigh,6,0.041567,0.849302,8,0.962462,0,0.962462,0
#2 single-dominant,oracle,1,0.104833,insufficient,2,0.916588,0.650804,10,0.648316,8,,
#2 single-dominant,oracle,2,0.144512,insufficient,2,0.833263,0.376372,6,0.526482,8,0.414062,12
#2 single-dominant,oracle,3,0.194507,insufficient,2,0.749938,0.359714,6,0.531127,6,0.689624,8
#2 single-dominant,oracle,4,0.271880,insufficient,2,0.666613,0.334049,6,0.525614,8,0.510463,8
#2 single-dominant,oracle,5,0.342666,insufficient,2,0.576344,0.341988,12,0.571196,12,0.774855,8
#2 single-dominant,oracle,6,0.417897,insufficient,2,0.520794,0.359661,2,0.608624,4,0.761094,14
#2 single-dominant,oracle,7,0.461464,insufficient,2,0.451357,0.354321,4,0.589822,4,0.872685,2
#2 single-dominant,oracle,8,0.528600,insufficient,2,0.376364,0.350315,8,0.549871,8,0.570831,8
#2 single-dominant,oracle,9,0.577008,insufficient,2,0.298594,0.350109,8,0.549681,8,0.986074,0
#2 single-dominant,oracle,10,0.577008,insufficient,2,0.298594,0.349628,8,0.549353,8,0.987250,0
#2 single-dominant,oracle,11,0.577008,insufficient,2,0.298594,0.401816,4,0.642907,6,0.581590,8
#2 single-dominant,oracle,12,0.577008,insufficient,2,0.298594,0.360230,8,0.591974,8,0.704228,6
#2 single-dominant,oracle,13,0.577008,insufficient,2,0.298594,0.344624,6,0.576122,8,0.761041,4
#2 single-dominant,oracle,14,0.577008,insufficient,2,0.298594,0.366915,4,0.602375,8,0.661721,2
#2 single-dominant,oracle,15,0.577008,insufficient,2,0.298594,0.368506,4,0.603604,8,0.989071,0
#2 single-dominant,oracle,16,0.578613,insufficient,2,0.298582,0.500825,12,0.646633,8,0.537058,12
#2 single-dominant,oracle,17,0.578631,insufficient,2,0.298569,0.342417,8,0.542362,4,0.717151,6
#2 single-dominant,oracle,18,0.578649,insufficient,2,0.298557,0.406778,10,0.565437,6,0.651513,6
#2 single-dominant,oracle,19,0.578649,insufficient,2,0.298557,0.406778,10,0.565437,6,0.995377,0
#2 single-dominant,oracle,20,0.579443,insufficient,2,0.298557,0.387553,4,0.631961,4,0.585859,8
#2 single-dominant,oracle,21,0.582619,insufficient,2,0.298557,0.393653,12,0.602738,10,0.760592,10
#2 single-dominant,oracle,22,0.584206,insufficient,2,0.298557,0.372534,12,0.630539,12,0.678748,14
#2 single-dominant,oracle,23,0.586778,insufficient,2,0.298540,0.353632,12,0.518966,10,0.588905,14
#2 single-dominant,oracle,24,0.592729,insufficient,2,0.298540,0.353922,12,0.519553,10,0.998190,0
#2 single-dominant,oracle,25,0.612714,insufficient,2,0.298540,0.368569,12,0.520824,10,0.753239,2
#2 single-dominant,oracle,26,0.614302,insufficient,2,0.298540,0.339892,12,0.507728,10,0.724080,2
#2 single-dominant,oracle,27,0.623915,insufficient,2,0.298538,0.353781,12,0.519321,10,0.832688,0
#2 single-dominant,oracle,28,0.623915,insufficient,2,0.298538,0.339696,12,0.507485,10,0.832709,0
#2 single-dominant,oracle,29,0.624180,insufficient,2,0.298538,0.426949,10,0.704706,6,0.561872,6
#2 single-dominant,oracle,30,0.635818,insufficient,2,0.298538,0.442324,12,0.714254,8,0.917109,2
#2 single-dominant,oracle,31,0.654863,insufficient,2,0.298538,0.442828,12,0.714232,8,0.995574,2
#2 single-dominant,oracle,32,0.654863,insufficient,2,0.298538,0.427564,10,0.706551,6,0.917772,2
#2 single-dominant,oracle,33,0.654863,insufficient,2,0.298538,0.427442,10,0.706563,6,0.993938,0
#2 single-dominant,oracle,34,0.676034,insufficient,2,0.298517,0.448655,10,0.718525,6,0.963948,0
#2 single-dominant,oracle,35,0.688658,insufficient,2,0.284305,0.429816,12,0.733545,8,0.929176,2
#2 single-dominant,oracle,36,0.688658,insufficient,2,0.284305,0.449515,10,0.719433,6,0.929503,2
#2 single-dominant,oracle,37,0.688658,insufficient,2,0.284305,0.448553,10,0.718142,6,0.992152,0
#2 single-dominant,oracle,38,0.705955,insufficient,2,0.256191,0.448906,10,0.718241,6,0.991552,0
#2 single-dominant,oracle,39,0.706404,insufficient,2,0.255801,0.433059,10,0.746130,6,0.896125,2
#2 single-dominant,oracle,40,0.706404,insufficient,2,0.255801,0.433059,10,0.746130,6,0.991156,0
#2 single-dominant,oracle,41,0.706404,insufficient,2,0.255801,0.504690,8,0.806541,6,0.801569,4
#2 single-dominant,oracle,42,0.706657,insufficient,2,0.255580,0.497190,8,0.813390,6,0.985435,0
#2 single-dominant,oracle,43,0.706657,insufficient,2,0.255580,0.497190,8,0.813390,6,0.993869,0
#2 single-dominant,oracle,44,0.706657,insufficient,2,0.255580,0.497190,8,0.813390,6,0.993869,0
#2 single-dominant,oracle,45,0.706657,insufficient,2,0.255580,0.497203,8,0.813410,6,0.993893,0
#2 single-dominant,oracle,46,0.706657,insufficient,2,0.255580,0.497203,8,0.813410,6,0.993920,0
#2 single-dominant,oracle,47,0.706657,insufficient,2,0.255580,0.497203,8,0.813410,6,0.993920,0
#2 single-dominant,oracle,48,0.709252,insufficient,2,0.253325,0.497305,8,0.813503,6,0.994017,0
#2 single-dominant,oracle,49,0.709252,insufficient,2,0.253325,0.497292,8,0.813524,6,0.994145,0
#2 single-dominant,oracle,50,0.709252,insufficient,2,0.253325,0.497483,8,0.813953,6,0.993887,0
#2 single-dominant,oracle,51,0.712602,insufficient,2,0.250870,0.519811,8,0.826460,6,0.972542,0
#2 single-dominant,oracle,52,0.712612,insufficient,2,0.250862,0.552911,6,0.865606,2,0.945899,4
#2 single-dominant,oracle,53,0.712613,insufficient,2,0.250862,0.546196,6,0.862580,4,0.956128,2
#2 single-dominant,oracle,54,0.712637,insufficient,2,0.250842,0.554586,6,0.866768,4,0.985778,0
#2 single-dominant,oracle,55,0.712637,insufficient,2,0.250842,0.554586,6,0.866768,4,0.993819,0
#2 single-dominant,oracle,56,0.712637,insufficient,2,0.250842,0.554586,6,0.866768,4,0.993819,0
#2 single-dominant,oracle,57,0.712637,insufficient,2,0.250842,0.555735,8,0.869748,4,0.876038,4
#2 single-dominant,oracle,58,0.713879,insufficient,2,0.250837,0.565377,8,0.883610,4,0.973018,0
#2 single-dominant,oracle,59,0.719479,insufficient,2,0.240969,0.567319,8,0.886208,4,0.982509,0
#2 single-dominant,oracle,60,0.719479,insufficient,2,0.240969,0.567147,8,0.882112,4,0.979977,0
#2 single-dominant,oracle,61,0.719479,insufficient,2,0.240969,0.566645,8,0.885910,4,0.980616,0
#2 single-dominant,oracle,62,0.719479,insufficient,2,0.240969,0.566975,8,0.886457,4,0.984173,0
#2 single-dominant,oracle,63,0.719480,insufficient,2,0.240968,0.566688,8,0.885391,4,0.984223,2
#2 single-dominant,oracle,64,0.719480,insufficient,2,0.240968,0.566603,8,0.885756,4,0.981845,2
#2 single-dominant,oracle,65,0.719481,insufficient,2,0.240968,0.565377,8,0.883610,4,0.981268,2
#2 single-dominant,oracle,66,0.719481,insufficient,2,0.240968,0.565377,8,0.883610,4,0.979146,0
#2 single-dominant,oracle,67,0.719481,insufficient,2,0.240968,0.567118,8,0.882865,4,0.982161,0
#2 single-dominant,oracle,68,0.719481,insufficient,2,0.240968,0.566788,8,0.885644,4,0.983739,2
#2 single-dominant,oracle,69,0.719481,insufficient,2,0.240968,0.566817,8,0.882454,4,0.979594,0
#2 single-dominant,oracle,70,0.719481,insufficient,2,0.240968,0.566788,8,0.880302,4,0.984117,0
#2 single-dominant,oracle,71,0.719481,insufficient,2,0.240968,0.566874,8,0.879770,4,0.984263,0
#2 single-dominant,oracle,72,0.719481,insufficient,2,0.240968,0.566331,8,0.885416,4,0.979101,0
#2 single-dominant,oracle,73,0.719481,insufficient,2,0.240968,0.566331,8,0.885416,4,0.982513,0
#2 single-dominant,oracle,74,0.719481,insufficient,2,0.240968,0.566046,8,0.884298,4,0.981764,2
#2 single-dominant,oracle,75,0.719481,insufficient,2,0.240968,0.566046,8,0.884298,4,0.981508,0
#2 single-dominant,oracle,76,0.719481,insufficient,2,0.240968,0.566046,8,0.884298,4,0.981508,0
#2 single-dominant,oracle,77,0.719481,insufficient,2,0.240968,0.566317,8,0.884618,4,0.981974,0
#2 single-dominant,oracle,78,0.719481,insufficient,2,0.240968,0.566317,8,0.884618,4,0.982462,0
#2 single-dominant,oracle,79,0.719481,insufficient,2,0.240968,0.566317,8,0.884618,4,0.982462,0
#2 single-dominant,oracle,80,0.719481,insufficient,2,0.240968,0.566046,8,0.884298,4,0.981974,0
#2 single-dominant,oracle,81,0.719481,insufficient,2,0.240968,0.566188,8,0.884540,4,0.981751,0
#2 single-dominant,oracle,82,0.719481,insufficient,2,0.240968,0.566660,8,0.883727,4,0.982378,0
#2 single-dominant,oracle,83,0.719481,insufficient,2,0.240968,0.566660,8,0.883727,4,0.983668,0
#2 single-dominant,oracle,84,0.723513,insufficient,2,0.236493,0.610957,6,0.921237,2,0.941829,4
#2 single-dominant,oracle,85,0.723540,insufficient,2,0.236470,0.596893,6,0.916213,2,0.948345,2
#2 single-dominant,oracle,86,0.723540,insufficient,2,0.236470,0.596893,6,0.916213,2,0.984724,0
#2 single-dominant,oracle,87,0.727801,insufficient,2,0.232327,0.644916,4,0.948763,0,0.939353,2
#2 single-dominant,oracle,88,0.727851,insufficient,2,0.232327,0.647976,4,0.947983,0,0.973209,0
#2 single-dominant,oracle,89,0.731079,insufficient,2,0.228481,0.671778,4,0.976432,0,0.947983,0
#2 single-dominant,oracle,90,0.731079,insufficient,2,0.228481,0.671778,4,0.976432,0,0.976432,0
#3 zero-weight-criterion,oracle,1,0.111905,insufficient,2,0.833334,0.532776,12,0.509235,14,,
#3 zero-weight-criterion,oracle,2,0.200000,insufficient,2,0.666667,0.583258,10,0.552538,8,0.488814,12
#3 zero-weight-criterion,oracle,3,0.320238,insufficient,2,0.500000,0.611674,10,0.616938,8,0.664658,2
#3 zero-weight-criterion,oracle,4,0.541904,insufficient,2,0.333334,0.677115,8,0.621753,8,0.664791,8
#3 zero-weight-criterion,oracle,5,0.718906,insufficient,2,0.159706,0.605108,8,0.561917,6,0.815302,2
#3 zero-weight-criterion,oracle,6,0.718906,insufficient,2,0.159706,0.606236,8,0.563402,6,0.991424,0
#3 zero-weight-criterion,oracle,7,0.718906,insufficient,2,0.159705,0.626966,8,0.574654,8,0.851880,2
#3 zero-weight-criterion,oracle,8,0.718906,insufficient,2,0.159705,0.606045,8,0.564227,6,0.852014,2
#3 zero-weight-criterion,oracle,9,0.718906,insufficient,2,0.159705,0.627930,8,0.576371,8,0.852714,2
#3 zero-weight-criterion,oracle,10,0.718906,insufficient,2,0.159705,0.627211,8,0.576178,8,0.989441,2
#3 zero-weight-criterion,oracle,11,0.718906,insufficient,2,0.159705,0.627419,8,0.576374,8,0.988969,0
#3 zero-weight-criterion,oracle,12,0.718906,insufficient,2,0.159705,0.625951,6,0.594203,6,0.801283,6
#3 zero-weight-criterion,oracle,13,0.718906,insufficient,2,0.159705,0.626716,6,0.596710,6,0.990491,0
#3 zero-weight-criterion,oracle,14,0.718906,insufficient,2,0.159705,0.626878,6,0.595819,6,0.990292,0
#3 zero-weight-criterion,oracle,15,0.718906,insufficient,2,0.159705,0.629070,8,0.577959,8,0.800585,6
#3 zero-weight-criterion,oracle,16,0.718906,insufficient,2,0.159705,0.625618,6,0.621042,6,0.689377,6
#3 zero-weight-criterion,oracle,17,0.718906,insufficient,2,0.159705,0.604199,8,0.561338,6,0.735294,4
#3 zero-weight-criterion,oracle,18,0.726843,insufficient,2,0.159705,0.651870,8,0.586315,6,0.614683,4
#3 zero-weight-criterion,oracle,19,0.728590,insufficient,2,0.159705,0.561405,10,0.544875,10,0.572281,8
#3 zero-weight-criterion,oracle,20,0.730494,insufficient,2,0.159705,0.584177,10,0.608264,8,0.727731,4
#3 zero-weight-criterion,oracle,21,0.731923,insufficient,2,0.159705,0.584594,10,0.609008,8,0.990970,0
#3 zero-weight-criterion,oracle,22,0.732717,insufficient,2,0.159705,0.760935,6,0.676787,10,0.577993,10
#3 zero-weight-criterion,oracle,23,0.732717,insufficient,2,0.159705,0.759975,6,0.676009,8,0.990089,2
#3 zero-weight-criterion,oracle,24,0.736050,insufficient,2,0.159705,0.760513,6,0.676031,10,0.990059,2
#3 zero-weight-criterion,oracle,25,0.736050,insufficient,2,0.159705,0.587872,10,0.602104,10,0.575097,10
#3 zero-weight-criterion,oracle,26,0.736050,insufficient,2,0.159705,0.587872,10,0.602104,10,0.985628,0
#3 zero-weight-criterion,oracle,27,0.736050,insufficient,2,0.159705,0.757355,6,0.673004,10,0.571800,10
#3 zero-weight-criterion,oracle,28,0.749622,insufficient,2,0.159705,0.759903,6,0.675673,10,0.991342,0
#3 zero-weight-criterion,oracle,29,0.749622,insufficient,2,0.159705,0.761454,6,0.677164,8,0.989950,2
#3 zero-weight-criterion,oracle,30,0.799384,high,2,0.159705,0.582044,10,0.622013,8,0.558846,10
#3 zero-weight-criterion,oracle,31,0.802162,high,2,0.159705,0.550884,8,0.572035,4,0.679927,4
#3 zero-weight-criterion,oracle,32,0.802162,high,2,0.159705,0.550591,8,0.570368,4,0.990717,0
#3 zero-weight-criterion,oracle,33,0.802478,high,2,0.159581,0.727825,6,0.640715,6,0.478351,6
#3 zero-weight-criterion,oracle,34,0.802508,high,2,0.159569,0.720942,6,0.646117,10,0.931312,4
#3 zero-weight-criterion,oracle,35,0.810675,high,3,0.159569,0.693551,8,0.625139,6,0.949467,6
#3 zero-weight-criterion,oracle,36,0.810675,high,3,0.159569,0.759895,8,0.669340,10,0.788359,8
#3 zero-weight-criterion,oracle,37,0.826014,high,3,0.159519,0.721008,6,0.646414,10,0.833170,8
#3 zero-weight-criterion,oracle,38,0.826014,high,3,0.159519,0.693975,8,0.624931,6,0.951101,6
#3 zero-weight-criterion,oracle,39,0.839225,high,3,0.159436,0.694769,10,0.637311,8,0.944589,2
#3 zero-weight-criterion,oracle,40,0.904607,veryHigh,3,0.080059,0.695190,10,0.636206,8,0.989159,0
#3 zero-weight-criterion,oracle,41,0.904607,veryHigh,3,0.080059,0.692482,10,0.634248,8,0.989233,0
#3 zero-weight-criterion,oracle,42,0.904607,veryHigh,3,0.080059,0.719338,6,0.651859,8,0.946342,6
#3 zero-weight-criterion,oracle,43,0.904607,veryHigh,3,0.080059,0.692754,10,0.636220,8,0.942476,6
#3 zero-weight-criterion,oracle,44,0.904607,veryHigh,3,0.080059,0.719015,6,0.655516,8,0.946296,6
#3 zero-weight-criterion,oracle,45,0.909287,veryHigh,3,0.076909,0.635290,10,0.706113,6,0.766803,8
#3 zero-weight-criterion,oracle,46,0.909330,veryHigh,3,0.076909,0.895893,4,0.775493,8,0.584922,12
#3 zero-weight-criterion,oracle,47,0.914269,veryHigh,3,0.069348,0.693027,10,0.636480,8,0.744272,10
