id,band,album,created_at,db_had_release_group,db_had_artwork,mb_status,live_found_release_group,found_by_shipped_filter,found_by_relaxed_filter,releases_in_group_checked,sweep_status,live_genres,verdict
9a87405c-672d-4bd8-b099-402e94882516,TDW,Bane of the Talebearer OST,2026-07-13T09:32:35.679393+00:00,false,false,ok,true,false,false,1,ok,progressive metal; symphonic metal,"MB knows the release, but genuinely no approved artwork on CAA for any release in the group"
be8a25d2-47bf-45f5-9778-7ca4e9518bd1,A World Worth Burning,The Sky Was Colored as Hammered Lead,2026-07-13T09:32:35.679393+00:00,true,false,ok,true,false,false,0,error,,"Release-group sweep errored even after retry — ""no CAA art"" NOT confirmed, re-check this row"
65de10a2-ea20-4427-97cf-8a38df2a981b,Volubilis,Theasterion,2026-07-13T09:32:35.679393+00:00,true,false,error,false,false,false,0,skipped,,"MB request error even after retry — transient failure, not a real verdict, re-run later"
baabc6a4-5c2d-4e82-8aae-6f8ddc9f9bcf,Only Echoes,Born Adrift,2026-08-11T20:04:02.815723+00:00,true,false,ok,true,false,false,1,ok,,"MB knows the release, but genuinely no approved artwork on CAA for any release in the group"
289b1770-a42d-495a-8407-a30a32b26cbe,Coma Control,Shed the Sleep,2026-08-29T21:31:51.45791+00:00,true,false,ok,true,false,false,0,error,death metal,"Release-group sweep errored even after retry — ""no CAA art"" NOT confirmed, re-check this row"
4d12b5ef-0296-4351-ae6b-c6318c80239f,Lord Carrion,Man Made Hell,2026-08-21T19:32:55.443201+00:00,true,false,error,false,false,false,0,skipped,,"MB request error even after retry — transient failure, not a real verdict, re-run later"
315c9dd2-fbc9-4c8c-bc7c-a4a37614dc84,W.M.D.,Against All Warnings,2026-07-17T12:24:12.314057+00:00,true,false,ok,true,false,false,0,error,thrash metal,"Release-group sweep errored even after retry — ""no CAA art"" NOT confirmed, re-check this row"
