id,band,album,mb_release_group_id,status,release_group_genres
432539eb-8802-4799-a798-e44974c9bb7b,Saprovore,Numinous Abditory Deflagration,68f8ae7f-fe4e-4fc0-9a97-3c76da29f6f3,ok,
85e41b20-09e9-4034-9d19-678ab910b081,Daydream Plus,Second Last Day of Summer,2c2b9c69-8cb8-4428-b166-0a7c9e5ea858,ok,
f142f543-92f9-4518-a6ef-1b56b3a8414a,Hours of Worship,Resignation,5cd8a0a7-c046-4b0e-bfa5-e3adb87dd3d8,ok,
03ed2619-71ce-4eff-a8d7-284ec1bd90cb,Fane,Armageddon Scars,f364e31b-2077-49ac-90ee-a7f58d5bed17,ok,
61100bda-09ff-48ea-a6a2-f385b7971cf8,The Absolution Sequence,Dread Cycle,de62f617-cbcd-49c1-9798-3862b9f730b7,ok,
be85ae7f-4395-41be-b57a-cb8dc17f08d1,Megascavenger,Toxic Noxious Undeath,d6979c36-10d7-4f32-b6ba-37b68441a47c,ok,
3798d8f5-3631-482e-8208-514dffd101c8,Ledmotiv,The Ghost of Carrion,e629a201-5e0e-4dab-84fc-eb0eb9446523,ok,
8002db17-93ec-4be3-a89f-f7452ba6cb41,Apostle,A Splinter In The Infinite Noumenon,7a7cfcef-0c5a-450a-831e-07c0365a4d43,ok,blackgaze
4f474e07-2d3b-4461-bbd3-dc45ed5434c4,DJ URUTAU,Ornitofagia,3f202465-f99c-4df0-b526-f0dec1bb29a3,ok,
b77931c4-7d48-4bd7-992e-9387842b2e08,Season of Melancholy,In Sleep,c519e4a5-ee12-4fb5-8124-c4fd33c487d6,ok,
70acadb4-42d4-4a31-8d3d-2cd3df440e71,Ninth Realm,Damnation’s Veil,75083601-1fc4-4077-8fa8-52c2e2bebd96,ok,
9e2103d5-5033-4d8e-b767-5d1948ac6d48,Mourning Wood,Rise & Shine,ddac0ef5-dc12-4b2c-9ac2-26ca92cc804b,ok,
efb245b5-4381-4737-8f37-470762ce8a9f,Deceptor,Reign of Terror,30aaf065-3dc3-4538-baf8-cf83be90d9c1,ok,
23bb214f-4145-4989-9e78-c3dbe53cb5bd,Hanternoz,"A Hed an Noz, a Noz, a Noz",4cb67097-9771-461b-8e99-3b39a76b465a,ok,
27e872e5-1aed-4cff-b3c2-ae45df8db1e9,Mourir,"Nous, Le Venin",a413c0a3-2ba7-4421-a816-0a851df0f5ac,ok,
9193cc18-ba59-44be-85d3-5cdd09ee8505,Shabti,"Haze, Cacophony, and White Light",abe46a26-024e-4206-848b-08d3b8eff4c5,ok,
3bd1508a-0dee-493f-a2e6-ddd5a84c5189,Grey Shores,Dark Waters of Night,a6d5279c-bec1-4b9d-82d9-634eeb5285c0,ok,
a3c4434b-2fab-4747-89c0-06c21aafff2e,Agonanist,The Spirit of Gravity,015c7e1a-613e-41dc-8cf7-04c6e61abd2e,ok,
abae4b47-2902-4c2a-a8ef-9e88ef92ff45,A Night In Texas,The Darkest Side of Humanity,8ff4eb4d-393c-424d-b4b9-3f7ffa4b6224,ok,
ee583b7a-d689-4fad-b018-a972389753f4,Left Eye Perspective,Horizons,d27f08f1-5bfc-44da-8dba-0cc1256ac8fb,ok,
0208431a-5547-413d-b1b0-c818bfd6a8cc,Urakka,The Bridge,31001261-8fe7-426d-894d-7595c9c9cc06,ok,
