oracle_id,oracle_name,round,degree,progress_pct,accuracy,tier,fired,avg_coverage_width,max_coverage_width,total_slack,noisy_flip,matches_true_top10,top10,point_vec
3,zero-weight-criterion,38,3,83,0.826014,high,false,0.159519,0.199703,0.000000,false,false,synthetic-album-0|synthetic-album-1|synthetic-album-10|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8,0.000000014 0.083291650 0.166583286 0.166683337 0.000000014 0.083291650 0.166583286 0.166683337 0.000000014 0.083291650 0.166583286 0.166683337 0.000000014 0.083291650 0.166583286 0.166683337 0.000000014 0.083291650 0.166583286 0.166683337 0.000000014 0.000000034 0.166583293 0.166583313
3,zero-weight-criterion,39,3,84,0.839225,high,false,0.159436,0.199603,0.000000,false,false,synthetic-album-0|synthetic-album-1|synthetic-album-10|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8,0.000100046 0.083341666 0.166583286 0.166683337 0.000100046 0.083341666 0.166583286 0.166683337 0.000100046 0.083341666 0.166583286 0.166683337 0.000100046 0.083341666 0.166583286 0.166683337 0.000100046 0.083341666 0.166583286 0.166683337 0.000000014 0.000000034 0.166583293 0.166583313
3,zero-weight-criterion,40,3,90,0.904607,veryHigh,false,0.080059,0.166583,0.000000,false,false,synthetic-album-0|synthetic-album-1|synthetic-album-10|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8,0.000100044 0.083341669 0.166583293 0.166683337 0.000100044 0.083341669 0.166583293 0.166683337 0.000100044 0.083341669 0.166583293 0.166683337 0.000100044 0.083341669 0.166583293 0.166683337 0.000100044 0.083341669 0.166583293 0.166683337 0.000000014 0.000000027 0.166583294 0.166583314
3,zero-weight-criterion,41,3,90,0.904607,veryHigh,false,0.080059,0.166584,0.000000,false,false,synthetic-album-0|synthetic-album-1|synthetic-album-10|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8,0.000100048 0.083341669 0.166583289 0.166683337 0.000100048 0.083341669 0.166583289 0.166683337 0.000100048 0.083341669 0.166583289 0.166683337 0.000100048 0.083341669 0.166583289 0.166683337 0.000100048 0.083341669 0.166583289 0.166683337 0.000000019 0.000000037 0.166583296 0.166583314
3,zero-weight-criterion,42,3,90,0.904607,veryHigh,false,0.080059,0.166583,0.000000,false,true,synthetic-album-0|synthetic-album-1|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8|synthetic-album-9,0.000100047 0.083341669 0.166583290 0.166683337 0.000100047 0.083341669 0.166583290 0.166683337 0.000100047 0.083341669 0.166583290 0.166683337 0.000100047 0.083341669 0.166583290 0.166683337 0.000100047 0.083341669 0.166583290 0.166683337 0.000000018 0.000000036 0.083441722 0.166583315
3,zero-weight-criterion,43,3,90,0.904607,veryHigh,false,0.080059,0.166583,0.000000,false,false,synthetic-album-0|synthetic-album-1|synthetic-album-10|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8,0.000100045 0.083341668 0.166583292 0.166683337 0.000100045 0.083341668 0.166583292 0.166683337 0.000100045 0.083341668 0.166583292 0.166683337 0.000100045 0.083341668 0.166583292 0.166683337 0.000100045 0.083341668 0.166583292 0.166683337 0.000000012 0.000000030 0.166583298 0.166583315
3,zero-weight-criterion,44,3,90,0.904607,veryHigh,false,0.080059,0.166583,0.000000,false,true,synthetic-album-0|synthetic-album-1|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8|synthetic-album-9,0.000100044 0.083341668 0.166583293 0.166683337 0.000100044 0.083341668 0.166583293 0.166683337 0.000100044 0.083341668 0.166583293 0.166683337 0.000100044 0.083341668 0.166583293 0.166683337 0.000100044 0.083341668 0.166583293 0.166683337 0.000000012 0.000000029 0.083441718 0.166583316
3,zero-weight-criterion,45,3,91,0.909287,veryHigh,false,0.076909,0.166583,0.000000,false,true,synthetic-album-0|synthetic-album-1|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8|synthetic-album-9,0.083241626 0.083341668 0.083441710 0.166683337 0.083241626 0.083341668 0.083441710 0.166683337 0.083241626 0.083341668 0.083441710 0.166683337 0.083241626 0.083341668 0.083441710 0.166683337 0.083241626 0.083341668 0.083441710 0.166683337 0.083141601 0.083141617 0.166583301 0.166583317
3,zero-weight-criterion,46,3,91,0.909330,veryHigh,false,0.076909,0.166583,0.000000,false,true,synthetic-album-0|synthetic-album-1|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8|synthetic-album-9,0.000100035 0.099999994 0.199899953 0.199999989 0.000100035 0.099999994 0.199899953 0.199999989 0.000100035 0.099999994 0.199899953 0.199999989 0.000100035 0.099999994 0.199899953 0.199999989 0.000100035 0.099999994 0.199899953 0.199999989 0.000000011 0.000000026 0.000000042 0.000000057
3,zero-weight-criterion,47,3,91,0.914269,veryHigh,false,0.069348,0.166583,-0.000000,false,false,synthetic-album-0|synthetic-album-1|synthetic-album-10|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8,0.000100039 0.083341668 0.166583298 0.166683336 0.000100039 0.083341668 0.166583298 0.166683336 0.000100039 0.083341668 0.166583298 0.166683336 0.000100039 0.083341668 0.166583298 0.166683336 0.000100039 0.083341668 0.166583298 0.166683336 0.000000011 0.000000026 0.166583303 0.166583318
