trace,round,degree,criterion,level,width,touched_at_degree
#1 uniform,15,2,0,4,0.166666833,0
#1 uniform,15,2,0,5,0.000000333,1
#1 uniform,15,2,1,2,0.166666833,0
#1 uniform,15,2,1,3,0.166666833,0
#1 uniform,15,2,1,4,0.166666833,0
#1 uniform,15,2,1,5,0.000000333,1
#1 uniform,15,2,2,2,0.166666833,0
#1 uniform,15,2,2,3,0.166666833,0
#1 uniform,15,2,2,4,0.166666833,0
#1 uniform,15,2,2,5,0.000000333,1
#1 uniform,15,2,3,2,0.166666833,0
#1 uniform,15,2,3,3,0.166666833,0
#1 uniform,15,2,3,4,0.166666833,0
#1 uniform,15,2,3,5,0.000000333,1
#1 uniform,15,2,4,2,0.166666833,0
#1 uniform,15,2,4,3,0.166666833,0
#1 uniform,15,2,4,4,0.166666833,0
#1 uniform,15,2,4,5,0.000000333,1
#1 uniform,15,2,5,2,0.166666833,0
#1 uniform,15,2,5,3,0.166666833,0
#1 uniform,15,2,5,4,0.166666833,0
#1 uniform,15,2,5,5,0.000000333,1
#1 uniform,16,2,0,2,0.166666833,0
#1 uniform,16,2,0,3,0.166666833,1
#1 uniform,16,2,0,4,0.166666833,1
#1 uniform,16,2,0,5,0.000000333,1
#1 uniform,16,2,1,2,0.166666833,0
#1 uniform,16,2,1,3,0.166666833,1
#1 uniform,16,2,1,4,0.166666833,1
#1 uniform,16,2,1,5,0.000000333,1
#1 uniform,16,2,2,2,0.166666833,0
#1 uniform,16,2,2,3,0.166666833,0
#1 uniform,16,2,2,4,0.166666833,0
#1 uniform,16,2,2,5,0.000000333,1
#1 uniform,16,2,3,2,0.166666833,0
#1 uniform,16,2,3,3,0.166666833,0
#1 uniform,16,2,3,4,0.166666833,0
#1 uniform,16,2,3,5,0.000000333,1
#1 uniform,16,2,4,2,0.166666833,0
#1 uniform,16,2,4,3,0.166666833,0
#1 uniform,16,2,4,4,0.166666833,0
#1 uniform,16,2,4,5,0.000000333,1
#1 uniform,16,2,5,2,0.166666833,0
#1 uniform,16,2,5,3,0.166666833,0
#1 uniform,16,2,5,4,0.166666833,0
#1 uniform,16,2,5,5,0.000000333,1
#1 uniform,17,2,0,2,0.166666833,1
#1 uniform,17,2,0,3,0.166666833,1
#1 uniform,17,2,0,4,0.166666833,1
#1 uniform,17,2,0,5,0.000000333,1
#1 uniform,17,2,1,2,0.166666833,1
#1 uniform,17,2,1,3,0.166666833,1
#1 uniform,17,2,1,4,0.166666833,1
#1 uniform,17,2,1,5,0.000000333,1
#1 uniform,17,2,2,2,0.166666833,0
#1 uniform,17,2,2,3,0.166666833,0
#1 uniform,17,2,2,4,0.166666833,0
#1 uniform,17,2,2,5,0.000000333,1
#1 uniform,17,2,3,2,0.166666833,0
#1 uniform,17,2,3,3,0.166666833,0
#1 uniform,17,2,3,4,0.166666833,0
#1 uniform,17,2,3,5,0.000000333,1
#1 uniform,17,2,4,2,0.166666833,0
#1 uniform,17,2,4,3,0.166666833,0
#1 uniform,17,2,4,4,0.166666833,0
#1 uniform,17,2,4,5,0.000000333,1
#1 uniform,17,2,5,2,0.166666833,0
#1 uniform,17,2,5,3,0.166666833,0
#1 uniform,17,2,5,4,0.166666833,0
#1 uniform,17,2,5,5,0.000000333,1
#1 uniform,18,2,0,2,0.166666833,1
#1 uniform,18,2,0,3,0.166666833,1
#1 uniform,18,2,0,4,0.166666833,1
#1 uniform,18,2,0,5,0.000000333,1
#1 uniform,18,2,1,2,0.166666833,1
#1 uniform,18,2,1,3,0.166666833,1
#1 uniform,18,2,1,4,0.166666833,1
#1 uniform,18,2,1,5,0.000000333,1
#1 uniform,18,2,2,2,0.166666833,1
#1 uniform,18,2,2,3,0.166666833,1
#1 uniform,18,2,2,4,0.166666833,0
#1 uniform,18,2,2,5,0.000000333,1
#1 uniform,18,2,3,2,0.166666833,0
#1 uniform,18,2,3,3,0.166666833,0
#1 uniform,18,2,3,4,0.166666833,0
#1 uniform,18,2,3,5,0.000000333,1
#1 uniform,18,2,4,2,0.166666833,0
#1 uniform,18,2,4,3,0.166666833,0
#1 uniform,18,2,4,4,0.166666833,0
#1 uniform,18,2,4,5,0.000000333,1
#1 uniform,18,2,5,2,0.166666833,0
#1 uniform,18,2,5,3,0.166666833,0
#1 uniform,18,2,5,4,0.166666833,0
#1 uniform,18,2,5,5,0.000000333,1
#1 uniform,19,2,0,2,0.166666833,1
#1 uniform,19,2,0,3,0.166666833,1
#1 uniform,19,2,0,4,0.166666833,1
#1 uniform,19,2,0,5,0.000000333,1
#1 uniform,19,2,1,2,0.166666833,1
#1 uniform,19,2,1,3,0.166666833,1
#1 uniform,19,2,1,4,0.166666833,1
#1 uniform,19,2,1,5,0.000000333,1
#1 uniform,19,2,2,2,0.166666833,1
#1 uniform,19,2,2,3,0.166666833,1
#1 uniform,19,2,2,4,0.166666833,0
#1 uniform,19,2,2,5,0.000000333,1
#1 uniform,19,2,3,2,0.166666833,1
#1 uniform,19,2,3,3,0.166666833,1
#1 uniform,19,2,3,4,0.166666833,0
#1 uniform,19,2,3,5,0.000000333,1
#1 uniform,19,2,4,2,0.166666833,0
#1 uniform,19,2,4,3,0.166666833,0
#1 uniform,19,2,4,4,0.166666833,0
#1 uniform,19,2,4,5,0.000000333,1
#1 uniform,19,2,5,2,0.166666833,0
#1 uniform,19,2,5,3,0.166666833,0
#1 uniform,19,2,5,4,0.166666833,0
#1 uniform,19,2,5,5,0.000000333,1
#1 uniform,20,2,0,2,0.166666833,1
#1 uniform,20,2,0,3,0.166666833,1
#1 uniform,20,2,0,4,0.166666833,1
#1 uniform,20,2,0,5,0.000000333,1
#1 uniform,20,2,1,2,0.166666833,1
#1 uniform,20,2,1,3,0.166666833,1
#1 uniform,20,2,1,4,0.166666833,1
#1 uniform,20,2,1,5,0.000000333,1
#1 uniform,20,2,2,2,0.166666833,1
#1 uniform,20,2,2,3,0.166666833,1
#1 uniform,20,2,2,4,0.166666833,0
#1 uniform,20,2,2,5,0.000000333,1
#1 uniform,20,2,3,2,0.166666833,1
#1 uniform,20,2,3,3,0.166666833,1
#1 uniform,20,2,3,4,0.166666833,1
#1 uniform,20,2,3,5,0.000000333,1
#1 uniform,20,2,4,2,0.166666833,0
#1 uniform,20,2,4,3,0.166666833,0
#1 uniform,20,2,4,4,0.166666833,0
#1 uniform,20,2,4,5,0.000000333,1
#1 uniform,20,2,5,2,0.166666833,0
#1 uniform,20,2,5,3,0.166666833,0
#1 uniform,20,2,5,4,0.166666833,0
#1 uniform,20,2,5,5,0.000000333,1
#1 uniform,21,2,0,2,0.166666833,1
#1 uniform,21,2,0,3,0.166666833,1
#1 uniform,21,2,0,4,0.166666833,1
