trace,round,degree,criterion,level,width,touched_at_degree
#1 uniform,6,2,0,2,0.166666833,0
#1 uniform,6,2,0,3,0.166666833,0
#1 uniform,6,2,0,4,0.166666833,0
#1 uniform,6,2,0,5,0.000000333,1
#1 uniform,6,2,1,2,0.166667083,0
#1 uniform,6,2,1,3,0.166667083,0
#1 uniform,6,2,1,4,0.166667083,0
#1 uniform,6,2,1,5,0.000000833,1
#1 uniform,6,2,2,2,0.166667083,0
#1 uniform,6,2,2,3,0.166667083,0
#1 uniform,6,2,2,4,0.166667083,0
#1 uniform,6,2,2,5,0.000000833,1
#1 uniform,6,2,3,2,0.166667500,0
#1 uniform,6,2,3,3,0.166667500,0
#1 uniform,6,2,3,4,0.166667500,0
#1 uniform,6,2,3,5,0.000001667,1
#1 uniform,6,2,4,2,0.166667500,0
#1 uniform,6,2,4,3,0.166667500,0
#1 uniform,6,2,4,4,0.166667500,0
#1 uniform,6,2,4,5,0.000001667,1
#1 uniform,6,2,5,2,0.166667500,0
#1 uniform,6,2,5,3,0.166667500,0
#1 uniform,6,2,5,4,0.166667500,0
#1 uniform,6,2,5,5,0.000001667,1
#1 uniform,7,2,0,2,0.166666833,0
#1 uniform,7,2,0,3,0.166666833,0
#1 uniform,7,2,0,4,0.166666833,0
#1 uniform,7,2,0,5,0.000000333,1
#1 uniform,7,2,1,2,0.166666944,0
#1 uniform,7,2,1,3,0.166666944,0
#1 uniform,7,2,1,4,0.166666944,0
#1 uniform,7,2,1,5,0.000000556,1
#1 uniform,7,2,2,2,0.166667083,0
#1 uniform,7,2,2,3,0.166667083,0
#1 uniform,7,2,2,4,0.166667083,0
#1 uniform,7,2,2,5,0.000000833,1
#1 uniform,7,2,3,2,0.166667083,0
#1 uniform,7,2,3,3,0.166667083,0
#1 uniform,7,2,3,4,0.166667083,0
#1 uniform,7,2,3,5,0.000000833,1
#1 uniform,7,2,4,2,0.166667500,0
#1 uniform,7,2,4,3,0.166667500,0
#1 uniform,7,2,4,4,0.166667500,0
#1 uniform,7,2,4,5,0.000001667,1
#1 uniform,7,2,5,2,0.166667500,0
#1 uniform,7,2,5,3,0.166667500,0
#1 uniform,7,2,5,4,0.166667500,0
#1 uniform,7,2,5,5,0.000001667,1
#1 uniform,8,2,0,2,0.166666833,0
#1 uniform,8,2,0,3,0.166666833,0
#1 uniform,8,2,0,4,0.166666833,0
#1 uniform,8,2,0,5,0.000000333,1
#1 uniform,8,2,1,2,0.166666875,0
#1 uniform,8,2,1,3,0.166666875,0
#1 uniform,8,2,1,4,0.166666875,0
#1 uniform,8,2,1,5,0.000000417,1
#1 uniform,8,2,2,2,0.166667083,0
#1 uniform,8,2,2,3,0.166667083,0
#1 uniform,8,2,2,4,0.166667083,0
#1 uniform,8,2,2,5,0.000000833,1
#1 uniform,8,2,3,2,0.166667083,0
#1 uniform,8,2,3,3,0.166667083,0
#1 uniform,8,2,3,4,0.166667083,0
#1 uniform,8,2,3,5,0.000000833,1
#1 uniform,8,2,4,2,0.166667083,0
#1 uniform,8,2,4,3,0.166667083,0
#1 uniform,8,2,4,4,0.166667083,0
#1 uniform,8,2,4,5,0.000000833,1
#1 uniform,8,2,5,2,0.166667500,0
#1 uniform,8,2,5,3,0.166667500,0
#1 uniform,8,2,5,4,0.166667500,0
#1 uniform,8,2,5,5,0.000001667,1
#1 uniform,9,2,0,2,0.166666833,0
#1 uniform,9,2,0,3,0.166666833,0
#1 uniform,9,2,0,4,0.166666833,0
#1 uniform,9,2,0,5,0.000000333,1
#1 uniform,9,2,1,2,0.166666833,0
#1 uniform,9,2,1,3,0.166666833,0
#1 uniform,9,2,1,4,0.166666833,0
#1 uniform,9,2,1,5,0.000000333,1
#1 uniform,9,2,2,2,0.166667083,0
#1 uniform,9,2,2,3,0.166667083,0
#1 uniform,9,2,2,4,0.166667083,0
#1 uniform,9,2,2,5,0.000000833,1
#1 uniform,9,2,3,2,0.166667083,0
#1 uniform,9,2,3,3,0.166667083,0
#1 uniform,9,2,3,4,0.166667083,0
#1 uniform,9,2,3,5,0.000000833,1
#1 uniform,9,2,4,2,0.166667083,0
#1 uniform,9,2,4,3,0.166667083,0
#1 uniform,9,2,4,4,0.166667083,0
#1 uniform,9,2,4,5,0.000000833,1
#1 uniform,9,2,5,2,0.166667083,0
#1 uniform,9,2,5,3,0.166667083,0
#1 uniform,9,2,5,4,0.166667083,0
#1 uniform,9,2,5,5,0.000000833,1
#1 uniform,10,2,0,2,0.166666833,0
#1 uniform,10,2,0,3,0.166666833,0
#1 uniform,10,2,0,4,0.166666833,0
#1 uniform,10,2,0,5,0.000000333,1
#1 uniform,10,2,1,2,0.166666833,0
#1 uniform,10,2,1,3,0.166666833,0
#1 uniform,10,2,1,4,0.166666833,0
#1 uniform,10,2,1,5,0.000000333,1
#1 uniform,10,2,2,2,0.166666944,0
#1 uniform,10,2,2,3,0.166666944,0
#1 uniform,10,2,2,4,0.166666944,0
#1 uniform,10,2,2,5,0.000000556,1
#1 uniform,10,2,3,2,0.166666944,0
#1 uniform,10,2,3,3,0.166666944,0
#1 uniform,10,2,3,4,0.166666944,0
#1 uniform,10,2,3,5,0.000000556,1
#1 uniform,10,2,4,2,0.166667083,0
#1 uniform,10,2,4,3,0.166667083,0
#1 uniform,10,2,4,4,0.166667083,0
#1 uniform,10,2,4,5,0.000000833,1
#1 uniform,10,2,5,2,0.166667083,0
#1 uniform,10,2,5,3,0.166667083,0
#1 uniform,10,2,5,4,0.166667083,0
#1 uniform,10,2,5,5,0.000000833,1
#1 uniform,11,2,0,2,0.166666833,0
#1 uniform,11,2,0,3,0.166666833,0
#1 uniform,11,2,0,4,0.166666833,0
#1 uniform,11,2,0,5,0.000000333,1
#1 uniform,11,2,1,2,0.166666833,0
#1 uniform,11,2,1,3,0.166666833,0
#1 uniform,11,2,1,4,0.166666833,0
#1 uniform,11,2,1,5,0.000000333,1
#1 uniform,11,2,2,2,0.166666875,0
#1 uniform,11,2,2,3,0.166666875,0
#1 uniform,11,2,2,4,0.166666875,0
#1 uniform,11,2,2,5,0.000000417,1
#1 uniform,11,2,3,2,0.166666944,0
#1 uniform,11,2,3,3,0.166666944,0
#1 uniform,11,2,3,4,0.166666944,0
#1 uniform,11,2,3,5,0.000000556,1
#1 uniform,11,2,4,2,0.166666944,0
#1 uniform,11,2,4,3,0.166666944,0
#1 uniform,11,2,4,4,0.166666944,0
#1 uniform,11,2,4,5,0.000000556,1
#1 uniform,11,2,5,2,0.166667083,0
#1 uniform,11,2,5,3,0.166667083,0
#1 uniform,11,2,5,4,0.166667083,0
#1 uniform,11,2,5,5,0.000000833,1
#1 uniform,12,2,0,2,0.166666833,0
#1 uniform,12,2,0,3,0.166666833,0
#1 uniform,12,2,0,4,0.166666833,0
#1 uniform,12,2,0,5,0.000000333,1
#1 uniform,12,2,1,2,0.166666833,0
#1 uniform,12,2,1,3,0.166666833,0
#1 uniform,12,2,1,4,0.166666833,0
#1 uniform,12,2,1,5,0.000000333,1
#1 uniform,12,2,2,2,0.166666833,0
#1 uniform,12,2,2,3,0.166666833,0
#1 uniform,12,2,2,4,0.166666833,0
#1 uniform,12,2,2,5,0.000000333,1
#1 uniform,12,2,3,2,0.166666944,0
#1 uniform,12,2,3,3,0.166666944,0
#1 uniform,12,2,3,4,0.166666944,0
#1 uniform,12,2,3,5,0.000000556,1
#1 uniform,12,2,4,2,0.166666944,0
#1 uniform,12,2,4,3,0.166666944,0
#1 uniform,12,2,4,4,0.166666944,0
#1 uniform,12,2,4,5,0.000000556,1
#1 uniform,12,2,5,2,0.166666944,0
#1 uniform,12,2,5,3,0.166666944,0
#1 uniform,12,2,5,4,0.166666944,0
#1 uniform,12,2,5,5,0.000000556,1
#1 uniform,13,2,0,2,0.166666833,0
#1 uniform,13,2,0,3,0.166666833,0
#1 uniform,13,2,0,4,0.166666833,0
#1 uniform,13,2,0,5,0.000000333,1
#1 uniform,13,2,1,2,0.166666833,0
#1 uniform,13,2,1,3,0.166666833,0
#1 uniform,13,2,1,4,0.166666833,0
#1 uniform,13,2,1,5,0.000000333,1
#1 uniform,13,2,2,2,0.166666833,0
#1 uniform,13,2,2,3,0.166666833,0
#1 uniform,13,2,2,4,0.166666833,0
#1 uniform,13,2,2,5,0.000000333,1
#1 uniform,13,2,3,2,0.166666875,0
#1 uniform,13,2,3,3,0.166666875,0
#1 uniform,13,2,3,4,0.166666875,0
#1 uniform,13,2,3,5,0.000000417,1
#1 uniform,13,2,4,2,0.166666875,0
#1 uniform,13,2,4,3,0.166666875,0
#1 uniform,13,2,4,4,0.166666875,0
#1 uniform,13,2,4,5,0.000000417,1
#1 uniform,13,2,5,2,0.166666944,0
#1 uniform,13,2,5,3,0.166666944,0
#1 uniform,13,2,5,4,0.166666944,0
#1 uniform,13,2,5,5,0.000000556,1
#1 uniform,14,2,0,2,0.166666833,0
#1 uniform,14,2,0,3,0.166666833,0
#1 uniform,14,2,0,4,0.166666833,0
#1 uniform,14,2,0,5,0.000000333,1
#1 uniform,14,2,1,2,0.166666833,0
#1 uniform,14,2,1,3,0.166666833,0
#1 uniform,14,2,1,4,0.166666833,0
#1 uniform,14,2,1,5,0.000000333,1
#1 uniform,14,2,2,2,0.166666833,0
#1 uniform,14,2,2,3,0.166666833,0
#1 uniform,14,2,2,4,0.166666833,0
#1 uniform,14,2,2,5,0.000000333,1
#1 uniform,14,2,3,2,0.166666833,0
#1 uniform,14,2,3,3,0.166666833,0
#1 uniform,14,2,3,4,0.166666833,0
#1 uniform,14,2,3,5,0.000000333,1
#1 uniform,14,2,4,2,0.166666875,0
#1 uniform,14,2,4,3,0.166666875,0
#1 uniform,14,2,4,4,0.166666875,0
#1 uniform,14,2,4,5,0.000000417,1
#1 uniform,14,2,5,2,0.166666875,0
#1 uniform,14,2,5,3,0.166666875,0
#1 uniform,14,2,5,4,0.166666875,0
#1 uniform,14,2,5,5,0.000000417,1
#1 uniform,15,2,0,2,0.166666833,0
#1 uniform,15,2,0,3,0.166666833,0
